Date,local_new_case,local_new_death,total_case,total_death
2020-01-27,1,0,,
2020-01-28,0,0,,
2020-01-29,0,0,,
2020-01-30,0,0,,
2020-01-31,0,0,,
2020-02-01,0,0,,
2020-02-02,0,0,,
2020-02-03,0,0,,
2020-02-04,0,0,,
2020-02-05,0,0,,
2020-02-06,0,0,,
2020-02-07,0,0,,
2020-02-08,0,0,,
2020-02-09,0,0,,
2020-02-10,0,0,,
2020-02-11,0,0,,
2020-02-12,0,0,,
2020-02-13,0,0,,
2020-02-14,0,0,,
2020-02-15,0,0,,
2020-02-16,0,0,,
2020-02-17,0,0,,
2020-02-18,0,0,,
2020-02-19,0,0,,
2020-02-20,0,0,,
2020-02-21,0,0,,
2020-02-22,0,0,,
2020-02-23,0,0,,
2020-02-24,0,0,,
2020-02-25,0,0,,
2020-02-26,0,0,,
2020-02-27,0,0,,
2020-02-28,0,0,,
2020-02-29,0,0,,
2020-03-01,0,0,,
2020-03-02,0,0,,
2020-03-03,0,0,,
2020-03-04,0,0,,
2020-03-05,0,0,,
2020-03-06,1,0,,
2020-03-07,1,0,,
2020-03-08,2,0,,
2020-03-09,2,0,,
2020-03-10,3,0,,
2020-03-11,3,0,,
2020-03-12,4,0,,
2020-03-13,4,0,,
2020-03-14,5,0,,
2020-03-15,5,0,,
2020-03-16,6,0,,
2020-03-17,6,0,,
2020-03-18,6,0,,
2020-03-19,6,0,,
2020-03-20,6,0,,
2020-03-21,7,0,,
2020-03-22,7,0,,
2020-03-23,6,0,,
2020-03-24,6,0,,
2020-03-25,6,0,,
2020-03-26,6,0,,
2020-03-27,6,0,,
2020-03-28,5,0,,
2020-03-29,5,0,,
2020-03-30,5,0,,
2020-03-31,5,0,,
2020-04-01,4,0,,
2020-04-02,4,0,,
2020-04-03,4,0,,
2020-04-04,4,0,,
2020-04-05,4,0,,
2020-04-06,4,0,,
2020-04-07,5,0,,
2020-04-08,5,0,,
2020-04-09,6,0,,
2020-04-10,7,0,,
2020-04-11,8,0,,
2020-04-12,9,0,,
2020-04-13,11,0,,
2020-04-14,12,0,,
2020-04-15,14,0,,
2020-04-16,16,0,,
2020-04-17,17,0,,
2020-04-18,19,0,,
2020-04-19,21,0,,
2020-04-20,23,0,,
2020-04-21,24,0,,
2020-04-22,26,0,,
2020-04-23,27,0,,
2020-04-24,28,0,,
2020-04-25,29,0,,
2020-04-26,29,0,,
2020-04-27,29,0,,
2020-04-28,29,0,,
2020-04-29,28,0,,
2020-04-30,27,0,,
2020-05-01,26,0,,
2020-05-02,25,0,,
2020-05-03,24,0,,
2020-05-04,23,0,,
2020-05-05,22,0,,
2020-05-06,21,0,,
2020-05-07,20,0,,
2020-05-08,19,0,,
2020-05-09,18,0,,
2020-05-10,18,0,,
2020-05-11,18,0,,
2020-05-12,19,0,,
2020-05-13,20,0,,
2020-05-14,21,0,,
2020-05-15,22,0,,
2020-05-16,24,0,,
2020-05-17,26,0,,
2020-05-18,29,0,,
2020-05-19,31,0,,
2020-05-20,34,0,,
2020-05-21,36,0,,
2020-05-22,39,0,,
2020-05-23,41,0,,
2020-05-24,43,0,,
2020-05-25,45,0,,
2020-05-26,46,0,,
2020-05-27,46,0,,
2020-05-28,46,0,,
2020-05-29,46,0,,
2020-05-30,45,0,,
2020-05-31,44,0,,
2020-06-01,42,0,,
2020-06-02,40,0,,
2020-06-03,37,0,,
2020-06-04,34,0,,
2020-06-05,31,0,,
2020-06-06,28,0,,
2020-06-07,25,0,,
2020-06-08,22,0,,
2020-06-09,19,0,,
2020-06-10,17,0,,
2020-06-11,14,0,,
2020-06-12,12,0,,
2020-06-13,10,0,,
2020-06-14,8,0,,
2020-06-15,6,0,,
2020-06-16,5,0,,
2020-06-17,4,0,,
2020-06-18,3,0,,
2020-06-19,3,0,,
2020-06-20,3,0,,
2020-06-21,3,0,,
2020-06-22,4,0,,
2020-06-23,4,0,,
2020-06-24,6,0,,
2020-06-25,7,0,,
2020-06-26,9,0,,
2020-06-27,11,0,,
2020-06-28,13,0,,
2020-06-29,15,0,,
2020-06-30,18,0,,
